partnumber,name,description,images,retailprice,parttype,Brand,sku,Barcode,EAN,WeightGrams,DimensionsLengthMM,DimensionsWidthMM,DimensionsHeightMM,Gtin14
PP1279,Pipercross Car Panel Filter PP1279,"Pipercross Panel Filter  PP1279 measures 400mm x 220mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1279_51ad55d8-9e8f-47bc-80da-8821676a0ab0_2048x.jpg?v=1587378760,41.99,,Pipercross,PP1279,,,,,,,
FMTBINL1,Forge Motorsport Throttle Body Inlet Pipes for Alfa Romeo Giulia / Stelvio QV,"After numerous requests Forge Motorsport are proud to offer two high performance replacement throttle body inlet pipes for the Alfa Romeo Giulia/Stelvio QV, this is an area on the vehicle which seems to fail after tuning. We have heard of cases from some of our dealers that the OEM plastic pipe starts to split under increased boost pressure.
With our experience and expertise in this area Forge Motorsport has produced a far superior solution for these failing parts. Designed and developed by our highly skilled team on the Solidworks CAD system, the turbo adaptor machined from a single billet perfectly fits the Alfa Romeo?? throttle body. Finished with our gloss black anodized finish to prevent oxidization and give it a quality OEM look, we have also incorporated?? 2 x 1/8th"" NPT water meth bosses into the design for tuners to keep the inlet air temperatures on the safe side while pushing the engine to its limits and aiding the option for a maximum power output.
??
The Forge Motorsport silicone hoses have an increase in diameter which allows for a greater air flow which in turn maximizes the volume of air being forced into the engine. This has the benefit of improving both performance and efficiency especially on vehicles running aftermarket software. However, it?? the structural benefit which is the main reason this product is essential, the multi-ply silicone doesn?? only take more boost load but will last the life of the vehicle which is why we give this product a lifetime guarantee.
Key Facts:

Manufactured from??6082??aerospace grade aluminium
Black anodised for ultimate protection and durability
No engine check lights (EML)
Increased air flow over stock item
The Forge silicone hoses in this kit have been designed to include a specialist??inner liner of modified silicone known as??Fluorosilicone.
This means the hoses are suitable to be used with??either modern long-life coolants, Organic Acid Technology coolants (O.A.T.) or air containing oil mist.
The construction of the hoses has been engineered to exceed that of the OEM fitments, and will enhance any engine bay both technically and aesthetically
Lifetime warranty*",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/Throttle_Body_Inlet_Pipes_for_Alfa_Romeo_GiuliaStelvio_QV_57765jpeg_2048x.jpg?v=1643034139,226.59,,Pipercross,FMTBINL1,,,,,,,
PP2050,Pipercross Car Panel Filter PP2050,"Pipercross Panel Filter PP2050 measures 352mm x 244mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects
Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP2050_2048x.jpg?v=1643034662,79,,Pipercross,PP2050,,,,,,,
PX1868,Pipercross Car Panel Filter PX1868,"Pipercross Panel Filter  PX1868 measures 146mm x 89mm x 240mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PX1868_5abaa752-f8c7-4cbf-8c52-bbb3542d86d7_2048x.jpg?v=1587378142,41.99,,Pipercross,PX1868,,,,,,,
PX1778,Pipercross Car Panel Filter PX1778,"Pipercross Panel Filter  PX1778 measures 149mm x 103mm x 282mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PX1778_ac2be220-429f-48db-90a2-37fb70e536fa_2048x.jpg?v=1587378178,41.99,,Pipercross,PX1778,,,,,,,
PP2081,Pipercross Car Panel Filter PP2081,"Pipercross Panel Filter PP2081measures 271mm x 138m
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP2081_2048x.jpg?v=1642767554,41.99,,Pipercross,PP2081,,,,,,,
PP1803,Pipercross Car Panel Filter PP1803,"Pipercross Panel Filter  PP1803 measures 375mm x 144mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1803_9edbdeb5-b326-43cf-9cf8-5712ad726f45_2048x.jpg?v=1587378454,41.99,,Pipercross,PP1803,,,,,,,
PP1831,Pipercross Car Panel Filter PP1831,"Pipercross Panel Filter  PP1831 measures 279mm x 97mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1831_3c1f7bf2-436f-4e63-b9c9-e5d7cd429eab_2048x.jpg?v=1587378433,41.99,,Pipercross,PP1831,,,,,,,
PP1690,Pipercross Car Panel Filter PP1690,"Pipercross Panel Filter  PP1690 measures 213mm x 203mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1690_8277d5f4-9e4e-434d-ba71-03ac3eb0a51d_2048x.jpg?v=1587378530,41.99,,Pipercross,PP1690,,,,,,,
PP1301,Pipercross Car Panel Filter PP1301,"Pipercross Panel Filter  PP1301 measures 381mm x 150mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1301_abb9188a-80f7-408e-8abd-6bb5b7afc97f_2048x.jpg?v=1587378752,41.99,,Pipercross,PP1301,,,,,,,
PP1443,Pipercross Car Panel Filter PP1443,"Pipercross Panel Filter  PP1443 measures 254mm x 213mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1443_e9af4ea8-d27b-44c0-bae2-c55b6b6598ce_2048x.jpg?v=1587378684,41.99,,Pipercross,PP1443,,,,,,,
PP1213,Pipercross Car Panel Filter PP1213,"Pipercross Panel Filter  PP1213 measures 256mm x 150mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1213_a12c2903-81e7-4c8a-b4e3-f16825bd7b11_2048x.jpg?v=1587378800,41.99,,Pipercross,PP1213,,,,,,,
PP1221,Pipercross Car Panel Filter PP1221,"Pipercross Panel Filter  PP1221 measures 240mm x 170mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1221_2fc27750-ff3f-4175-9a09-bb1eeb97e2ec_2048x.jpg?v=1587378788,41.99,,Pipercross,PP1221,,,,,,,
PX1629,Pipercross Car Panel Filter PX1629,,https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PX1629_53abc462-5dae-43cc-8a54-42f63fc2d553_2048x.jpg?v=1587378194,58,,Pipercross,PX1629,,,,,,,
PP1735,Pipercross Car Panel Filter PP1735,"Pipercross Panel Filter  PP1735 measures 230mm x 189mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1735_6a138968-1092-4b25-acae-1c1b8a122d80_2048x.jpg?v=1587378495,55.99,,Pipercross,PP1735,,,,,,,
PX1225,Pipercross Car Panel Filter PX1225,"Pipercross Panel Filter  PX1225 measures 279mm x 222mm x 62mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PX1225_2aa9805f-18a0-413c-981c-07f5e0c641e9_2048x.jpg?v=1587378253,41.99,,Pipercross,PX1225,,,,,,,
PP43,Pipercross Car Panel Filter PP43,"Pipercross Panel Filter  PP43 measures 210mm x 210mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP43_b96e0972-b805-4c5f-94f1-88777bffd43b_2048x.jpg?v=1587378321,41.99,,Pipercross,PP43,,,,,,,
PP52,Pipercross Car Panel Filter PP52,"Pipercross Panel Filter  PP52 measures 307mm x 184mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP52_2048x.jpg?v=1591091028,41.99,,Pipercross,PP52,,,,,,,
